class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,2072,na,66,46,0,0,0,0,92,27834,501964,243692,143206,19652,78,0,58226,0,0,0,10730,17568,110340,105132,37468,6412,0,0,0,0,182,72,0,0,0,0,0,0,10,47332,889176,0,17790,7922,8072,95326,256276,551082,50,0,0,0,374174,251992,93600,49364,44086,34186,22360,25202,41044,510,158666,16,16,18,0,58226,1492,16470,20390,na,na,na,na,na,na,na,na,36420,2071.98,158666,158666,964538,5455.0,0,15294,157520,936518,1209600,2478,0,18,0,102687.36,7586.88,24257.28,338,458,348,5840,69316,703398,151364,5168,948,136,0,0,0,10,158666,na,1442,128,108152,48914,478890,292016,6976,0,0,0,66,180,102812,50090,0,0,0,0,104994,244,300,660,8438,0,0,0,0,0,0,1492,122,18,0,0,1962,322,740,74,0,0,0,0,1072010,245.62,294,440266,123102,64414,20488,38358,39418,71796,136386,2290,0,0,0
neg,42960,na,142,126,0,0,0,0,0,0,1452,964374,1681960,249010,15310,0,1467192,2500,0,0,0,0,2344464,1856458,775212,417134,0,0,0,0,242,82,0,0,0,0,0,69390,1944000,547176,351540,0,7860,3214,3338,6728,80792,2808514,286,0,2,1372,1099170,601240,231502,173900,138326,124558,398388,145022,0,0,3120194,56,68,314,0,1467192,59216,365668,404360,318720,283260,na,na,na,na,na,na,166960,42959.99,3120194,3120194,3109300,19032,3206,64404,694460,2912106,1209600,79784,0,112,0,2461445.76,0,443636.16,36,788,0,0,0,61686,1124512,1451024,254060,16386,4192,246,288,294,3120194,na,9324,510,93054,233180,157826,2142468,268002,7688,54,0,260,284,2432604,32814,0,8872,0,0,2507894,1996,216,0,0,0,0,0,0,0,0,34674,31606,7888,0,0,109140,17064,48960,10876,0,0,0,0,41960000,1360.66,1350,474040,461820,335906,194226,471592,449420,383782,120566,20620,134,0,0
neg,31608,na,3950,3186,0,0,0,0,0,0,1148,100146,1925884,540694,30658,2838,1163340,0,0,0,0,0,2122510,1637750,670424,413904,0,0,0,0,16910,1064,0,0,0,0,0,0,1134574,1466794,0,0,1980,890,1372,182194,1680552,733910,470,0,0,0,1088358,626102,241008,143534,95748,68264,68720,269076,558,0,2793624,242,178,268,26,1163340,45962,294536,368266,297800,286980,na,na,na,na,na,na,76380,31608.47,2793624,2793624,2774568,15673.0,744,30684,365380,2601368,1209600,96744,0,170,0,2208932.16,0,383407.68,0,0,0,0,0,13578,585084,1523814,447140,26742,4652,358,80,94,2793624,na,4310,662,48546,257748,172368,1535284,560270,21920,260,0,6990,2590,2180950,44900,72,1286,0,0,2225232,2238,70,0,0,0,0,0,0,0,0,25528,19222,3288,0,0,107458,17766,136420,17406,0,0,0,0,1608470,1199.6,1260,399766,954328,314290,95742,190400,202010,242250,125732,73582,3268,0,0
neg,42756,na,0,na,0,0,0,0,0,0,1730,958260,1368304,14360,0,0,1190754,0,0,0,0,0,2200262,2045166,223076,122880,0,0,0,0,0,0,0,0,0,0,0,11744,1284678,840306,205926,0,2350,504,564,918,6946,2331370,0,2,0,0,447598,1042032,399850,231356,128810,80886,12122,0,0,0,2423684,0,500,62,6,1190754,26488,131520,90990,109940,109280,na,na,na,na,na,na,200,42755.62,2423684,2423684,2428616,11323.0,5886,119642,640,2342654,1209600,0,na,na,na,2227852.8,0,111723.84,0,398,0,0,0,264200,1399096,650758,20918,5852,1816,14,na,0,2423684,na,3570,392,12908,103972,65146,1585262,554954,16130,320,0,na,na,na,na,na,na,na,na,na,1114,96,0,0,0,0,0,0,0,0,11312,24066,6152,0,0,66994,9102,8050540,819928,0,0,0,0,2755610,684.96,830,124052,247324,175606,138328,792856,362154,246182,171074,84696,382,0,0
neg,60572,na,2370,2110,0,0,0,0,0,0,538,100416,3052172,1093578,45380,3242,1903414,0,0,0,0,0,3889484,3437446,549232,381990,0,0,0,0,2774,330,0,0,0,0,0,0,1764994,2528534,1798,0,2530,1136,2190,446994,3195200,647252,24,0,0,0,1535752,995290,460634,362364,292084,229794,237306,182078,24,0,4439304,1880,3194,1472,18,1903414,48046,239320,306450,137460,127840,167340,na,na,na,na,na,108840,60571.98,4439304,4439304,4404260,26449.0,5500,76006,802600,4295326,1209600,146464,2,96,0,3723167.04,0,568544.64,0,0,0,0,0,4918,922780,2579276,754466,27290,5984,612,170,180,4439304,na,5338,722,25486,345038,186938,2949692,761764,20138,210,0,3984,770,3688052,376010,0,137686,0,16,3753328,2974,258,0,0,0,0,0,0,0,0,25774,52160,16640,0,0,136372,19974,14364220,1510918,0,0,0,0,21738660,1295.12,1650,591240,939178,629690,298846,652796,675772,333442,118242,55872,248,0,0
neg,882,0,26,14,0,0,0,0,0,3018,42004,26538,1604,0,0,0,30580,0,0,0,4950,7880,58922,51912,36336,3714,0,0,0,0,34,38,0,0,0,0,0,0,0,45398,27766,0,2034,558,536,996,1742,59370,4144,3784,0,0,36376,20912,8528,3452,1688,1178,452,422,86,70,100344,58,46,30,0,30580,1046,20422,15490,na,na,na,na,na,na,na,na,35380,881.4,100344,100344,96540,311.0,0,9440,99360,73342,1209600,2062,0,12,0,50557.44,0,21575.04,28,108,0,640,14382,20788,11952,11936,13442,24,0,0,0,12,100344,0,1500,68,2118,1904,2332,14232,45860,5054,96,0,28,128,52018,22184,0,0,0,0,54388,568,296,0,0,0,0,0,0,0,0,956,92,22,0,0,1356,244,260,28,0,0,0,0,0,274.42,192,23852,10622,3582,1864,4206,22514,4298,2226,0,0,0,0
neg,41924,na,388,292,0,0,0,0,0,0,82764,801524,1356994,189260,4660,0,1141474,0,0,0,0,0,2221644,1972690,457558,220726,0,0,0,0,214,1158,0,0,0,0,0,36302,1252636,938078,208186,0,1038,344,802,67722,2004544,360662,90,0,0,0,699696,632850,262826,200622,173966,204386,260822,34,0,0,2679450,0,522,188,8,1141474,31772,310330,145774,155580,268880,na,na,na,na,na,na,30300,41924.22,2679450,2679450,2682512,16109.0,122084,24068,257100,2435202,1209600,61010,0,34,0,2126519.04,0,307208.64,0,0,0,0,3180,205240,875936,1108800,231690,8052,2124,180,108,114,2679450,na,2258,306,90708,132564,124422,1558914,516362,9628,40,0,374,2736,1641632,94988,0,4636,0,56,2146552,1084,140,0,0,0,2,0,0,0,0,14894,42730,7720,0,0,92178,17372,530220,313944,0,0,0,0,2060310,654.34,618,321882,299294,254810,138300,297350,290412,225746,196984,379756,30668,0,0
neg,14,2,28,22,0,0,0,0,0,0,12,3680,2544,0,0,0,1050,0,0,0,0,0,5166,2928,5706,658,0,0,0,0,6,24,0,0,0,0,0,0,0,404,5832,0,80,16,266,880,28,1202,3764,0,0,0,4614,476,120,72,136,134,450,54,22,158,10918,2,12,4,2,1050,150,3106,2574,na,na,na,na,na,na,na,na,5540,13.51,10918,10918,12306,28,0,994,10720,6284,1209600,322,2,4,0,2242.56,0,2869.44,4,22,0,0,0,2520,2746,576,394,0,0,0,0,4,10918,0,1200,14,20,174,64,908,3590,254,12,0,52,58,2698,210,0,0,0,0,2698,62,38,0,0,0,0,0,0,0,0,218,0,0,1982,478,50,24,5660,570,5616,8,0,0,0,0.86,54,4120,1714,276,32,62,18,14,0,0,0,0,0
neg,38206,na,88,82,0,0,0,0,0,0,17060,898736,1548524,242914,14572,224,1130836,732,0,0,0,0,2346270,1955444,476146,334118,0,0,0,0,188,56,0,0,0,0,0,246128,2218152,141782,115968,0,1450,374,600,14804,1511976,1191982,844,0,0,0,873374,777862,268744,195760,162878,162256,234308,46848,0,0,2822860,16,18,138,4,1130836,31132,216168,257094,202260,188660,na,na,na,na,na,na,79840,38205.75,2822860,2822860,2812380,15567.0,1814,36016,398300,2722030,1209600,92828,2,64,0,2382351.36,0,337941.12,0,0,0,0,592,245574,1080510,1175476,203270,14588,2014,6,152,160,2822860,na,3580,494,17166,174208,85492,1579964,839324,21708,94,0,138,508,2339800,37084,0,29116,0,40,2403488,1466,190,0,0,0,0,0,0,0,0,19418,38828,6996,0,0,80224,10756,391180,47806,0,0,0,0,960540,998.42,1054,357448,591478,437310,269546,468990,318006,132500,63504,81784,1464,0,0
neg,16,0,12,12,0,0,0,0,0,0,2564,2302,2188,0,0,0,842,0,0,0,1064,1928,18758,17676,8132,474,0,0,0,0,56,18,0,0,0,0,0,0,0,1122,5932,0,62,98,962,92,30,3508,2302,0,0,0,5346,486,130,126,130,124,464,68,20,160,27998,0,8,0,0,842,140,5966,2154,na,na,na,na,na,na,na,na,7960,16.28,27998,27998,32258,30,6,2738,27800,7102,1209600,324,2,0,0,2638.08,0,3295.68,0,16,0,0,2518,1666,1792,400,678,0,0,0,0,4,27998,0,1184,20,18,86,542,1466,3322,396,20,0,2,12,2534,98,0,0,0,0,3024,28,112,0,0,0,0,0,0,0,0,232,0,0,0,0,74,22,13980,1380,0,18,0,0,0,0.68,40,4698,1980,100,40,104,96,36,0,0,0,0,0
